iteration,ReturnMean_mean,ReturnMean_std,ReturnMean_low,ReturnMean_up,CumRegret_mean,CumRegret_std,CumRegret_low,CumRegret_up,PerStepRegret_mean,PerStepRegret_std,PerStepRegret_low,PerStepRegret_up
0,0.11241617543479654,0.005342946009117752,0.10859406210904242,0.11623828876055066,22575.838245652038,53.429459091278,22537.61711310978,22614.059378194295,2.2575838245652036,0.005342946009117729,2.2537617112394495,2.2614059378909577
100,0.18819780330259023,0.013242608441279786,0.1787246119012949,0.19767099470388555,43636.043933948196,264.8521668256933,43446.58010735294,43825.507760543456,2.1818021966974097,0.013242608441279889,2.172329005296114,2.1912753880987053
200,0.2186930924220452,0.01629280916042415,0.20703791887176848,0.23034826597232194,64539.20722733865,488.7842718128224,64189.55202297635,64888.86243170095,2.151306907577955,0.01629280916042422,2.139651734027678,2.162962081128232
300,0.2381132397308809,0.014908324274409326,0.22744846700500182,0.24877801245675996,85275.47041076477,596.332966976473,84848.87950459096,85702.06131693858,2.1318867602691194,0.014908324274409369,2.1212219875432403,2.1425515329949985
400,0.24815474282494293,0.017804767485553638,0.23541797944527232,0.26089150620461354,106092.26285875286,890.2383692777819,105455.42469334604,106729.10102415968,2.1218452571750572,0.017804767485553607,2.109108493795387,2.1345820205547277
500,0.25653118214475296,0.01629758801579694,0.24487259000728273,0.2681897742822232,126808.12907131482,977.8552749479154,126108.61354735868,127507.64459527096,2.1134688178552468,0.01629758801579697,2.1018102257177764,2.125127409992717
600,0.25977342267012093,0.017308276184519585,0.2473918277713904,0.27215501756885147,147715.86041309152,1211.5793259164614,146849.14877518782,148582.57205099522,2.1102265773298794,0.017308276184519477,2.097844982431149,2.1226081722286096
700,0.26412213387252353,0.015654973032578925,0.2529232408011669,0.27532102694388016,168470.22929019813,1252.3978346063948,167574.3178502124,169366.14073018386,2.105877866127477,0.015654973032578914,2.09467897305612,2.1170767591988335
800,0.2682641612926058,0.013929317929393528,0.2582997275166051,0.2782285950686064,189156.2254836655,1253.6386046455157,188259.4264502636,190053.02451706742,2.1017358387073943,0.013929317929393573,2.091771404931394,2.111700272483395
900,0.27179381784285417,0.012488046687807031,0.26286040740287325,0.2807272282828351,209820.61821571464,1248.8046587808171,208927.27717887005,210713.95925255923,2.098206182157146,0.01248804668780713,2.089272771717165,2.107139592597127
1000,0.2748032224869505,0.011368545676413645,0.2666706548266907,0.28293579014721026,230471.64552643546,1250.5400134056038,229577.06309167575,231366.22796119517,2.09519677751305,0.011368545676413657,2.08706420985279,2.10332934517331
1100,0.2771115070988763,0.010590768475786196,0.2695353277303778,0.28468768646737475,251146.61914813487,1270.8922050944464,250237.47763249927,252055.76066377046,2.0928884929011238,0.010590768475786182,2.0853123135326253,2.1004646722696223
1200,0.2793123818616623,0.009843229002200604,0.27227096001806544,0.28635380370525915,271789.3903579839,1279.619757286196,270874.00552761584,272704.7751883519,2.090687618138338,0.009843229002200644,2.083646196294741,2.097729039981935
1300,0.28139906657488567,0.009136262884553693,0.27486337782582204,0.2879347553239493,292404.13067951606,1279.076789837586,291489.1342646621,293319.12709437,2.088600933425114,0.00913626288455375,2.0820652446760506,2.0951366221741776
1400,0.28312490070918905,0.008616055069974465,0.27696134621281515,0.28928845520556296,313031.26489362173,1292.408245496249,312106.7317298959,313955.79805734754,2.086875099290811,0.008616055069974473,2.080711544794437,2.0930386537871852
1500,0.28423563758685555,0.008336716475273613,0.2782719098833,0.2901993652904111,333722.2979861031,1333.8746200438802,332768.1015649799,334676.49440722633,2.085764362413145,0.008336716475273592,2.0798006347095894,2.0917280901167006
1600,0.2851387306446497,0.008301479319300807,0.2792002100839654,0.29107725120533395,354426.41579040955,1411.2514672812522,353416.86730725423,355435.96427356487,2.08486126935535,0.008301479319300774,2.0789227487946658,2.0907997899160344
1700,0.2864017714791008,0.007926913356753074,0.2807311992664598,0.2920723436917418,375047.6811337619,1426.8443862156478,374026.9781483629,376068.3841191609,2.0835982285208994,0.00792691335675313,2.0779276563082583,2.0892688007335405
1800,0.2875207480480972,0.007659900404486884,0.2820411853948386,0.2930003107013558,395671.0578708615,1455.3810578526031,394629.94098033407,396712.1747613889,2.0824792519519026,0.007659900404486971,2.076999689298644,2.087958814605161
1900,0.28800892094159025,0.008119857294017006,0.2822003249509658,0.2938175169322147,416398.215811682,1623.9714388035143,415236.49662786414,417559.93499549985,2.08199107905841,0.008119857294017098,2.0761824830677855,2.0877996750490344
2000,0.288915348435106,0.00788324829958467,0.28327601232265925,0.2945546845475528,437027.77682862774,1655.4821219128658,435843.5162600364,438212.0373972191,2.081084651564894,0.007883248299584648,2.0754453154524475,2.086723987677341
2100,0.28952352121065295,0.007938160733497682,0.2838449031093838,0.2952021393119221,457704.82533365645,1746.395339369599,456455.529367115,458954.1213001979,2.0804764787893477,0.007938160733497769,2.0747978606880784,2.086155096890617
2200,0.2901370392149725,0.007956643469088674,0.28444519936115753,0.2958288790687875,478368.48098055634,1830.0279748904784,477059.357830632,479677.6041304807,2.0798629607850274,0.007956643469088708,2.0741711209312124,2.0855548006388425
2300,0.29058580206231316,0.00805706851768082,0.2848221224564571,0.2963494816681692,499059.40750504483,1933.6964202434847,497676.1244168079,500442.69059328176,2.079414197937687,0.008057068517680852,2.073650518331831,2.085177877543543
2400,0.29114402518159366,0.007842217400425759,0.28553404080621764,0.2967540095569697,519713.99370460154,1960.554325106555,518311.4976286414,521116.4897805617,2.0788559748184063,0.007842217400425787,2.0732459904430303,2.0844659591937824
2500,0.2917773744135609,0.007587304054007486,0.2863497440609647,0.2972050047661571,540337.8826524742,1972.6990280420032,538926.6987793985,541749.06652555,2.078222625586439,0.007587304054007613,2.0727949952338425,2.0836502559390353
2600,0.2924002165155057,0.007358433098219741,0.2871363105817042,0.2976641224493072,560951.9415408134,1986.7769095194053,559530.6869580016,562373.1961236253,2.077599783484495,0.007358433098219816,2.0723358775506933,2.0828636894182964
2700,0.29298061553033117,0.0071463739387925464,0.28786840758069643,0.2980928234799659,581565.4276515072,2000.9846748619836,580134.0094456394,582996.845857375,2.0770193844696694,0.0071463739387925265,2.0719071765200345,2.0821315924193042
2800,0.29352066089726125,0.006935426467052979,0.28855935567832863,0.2984819661161939,602179.0083397942,2011.2736464454917,600740.229847049,603617.7868325395,2.0764793391027387,0.006935426467053151,2.071518033883806,2.0814406443216713
2900,0.2939959821526132,0.006781652440130724,0.28914468024579554,0.29884728405943084,622801.205354216,2034.4957020392922,621345.8148036314,624256.5959048007,2.0760040178473864,0.0067816524401306056,2.0711527159405687,2.080855319754204
3000,0.2943930617100511,0.006746129466514882,0.28956717140772953,0.29921895201237264,643438.1508698842,2091.30010361966,641942.1248983406,644934.1768414278,2.0756069382899494,0.006746129466514799,2.070781047987628,2.080432828592271
3100,0.2948244202262047,0.006543622786373822,0.29014339447602355,0.29950544597638584,664056.1855276146,2093.95925963978,662558.2573104479,665554.1137447812,2.075175579773795,0.006543622786373884,2.0704945540236137,2.079856605523976
3200,0.29518391648337355,0.006298798389240837,0.2906780275564272,0.2996898054103199,684689.3075604867,2078.603435449588,683202.3642382011,686176.2508827724,2.0748160835166267,0.006298798389240873,2.0703101945896805,2.079321972443573
3300,0.2955820350273012,0.006121743183352299,0.29120280376462204,0.2999612662899803,705302.1080907176,2081.3926483398677,703813.1694857287,706791.0466957064,2.0744179649726986,0.006121743183352392,2.0700387337100192,2.078797196235378
3400,0.295966814742735,0.0059434290255656694,0.2917151417442576,0.3002184877412124,725911.6148400428,2080.2001239480414,724423.5293156131,727399.7003644725,2.0740331852572647,0.005943429025565729,2.0697815122587873,2.078284858255742
3500,0.29633391967015105,0.005776267523694267,0.2922018268064468,0.3004660125338553,746519.7889187456,2079.4562725300293,745032.2355135648,748007.3423239264,2.0736660803298492,0.005776267523694268,2.069533987466145,2.0777981731935533
3600,0.2966848187214882,0.00562016827715486,0.2926643925318099,0.3007052449111665,767126.6170730494,2079.4622255474014,765639.0594093365,768614.1747367623,2.0733151812785118,0.005620168277154693,2.0692947550888334,2.07733560746819
3700,0.2970015513856955,0.005489706583215752,0.2930744518697388,0.3009286509016522,787739.4104734357,2086.0884636221,786247.1126845556,789231.7082623157,2.0729984486143045,0.005489706583215854,2.0690713490983477,2.0769255481302613
3800,0.2973098064737348,0.005369871851293998,0.2934684315608313,0.30115118138663827,808349.1754752435,2094.2499830047886,806851.03928711,809847.311663377,2.0726901935262654,0.0053698718512940015,2.068848818613362,2.0765315684391688
3900,0.29759695699906735,0.005251020785003484,0.2938406030172146,0.3013533109809201,828961.2172003732,2100.4082740014815,827458.6756362463,830463.7587645,2.072403043000933,0.005251020785003452,2.06864668901908,2.076159396982786
4000,0.2978762145079484,0.00513636208727104,0.2942018824173461,0.3015505465985507,849570.7520517412,2105.9084147811873,848064.2759239238,851077.2281795586,2.072123785492052,0.005136362087270904,2.0684494534014495,2.075798117582654
4100,0.29815011228542143,0.005018032964660917,0.2945604277498536,0.3017397968209893,870176.952840123,2107.5738031576434,868669.2853652295,871684.6203150165,2.0718498877145786,0.005018032964660961,2.0682602031790105,2.0754395722501466
4200,0.2984083143650236,0.004902551479145822,0.2949012403076286,0.30191538842241855,890784.4248230398,2108.0970930328413,889276.3830091202,892292.4666369593,2.0715916856349765,0.00490255147914578,2.0680846115775817,2.0750987596923713
4300,0.2986550694521765,0.004788819698489482,0.29522935420950036,0.30208078469485267,911391.7694410421,2107.0806233354947,909884.4547657402,912899.084116344,2.0713449305478235,0.00478881969848955,2.0679192153051473,2.0747706457904997
4400,0.29889258179086503,0.00467782868973435,0.2955462647328005,0.30223889884892957,931998.3381941108,2105.02286538055,930492.4955501728,933504.1808380488,2.071107418209135,0.004677828689734236,2.0677611011510706,2.0744537352671992
4500,0.29911437365398735,0.004576097113988251,0.29584083098118624,0.30238791632678846,952607.388119166,2105.004626434673,951101.5585225839,954113.2177157481,2.070885626346013,0.004576097113988165,2.067612083673212,2.074159169018814
4600,0.2993285154070712,0.004476326667088346,0.2961263442124699,0.30253068660167254,973215.5977586766,2103.873486531692,971710.5773308356,974720.6181865176,2.070671484592929,0.004476326667088363,2.0674693133983273,2.0738736557875304
4700,0.29953580356930043,0.004378968037044318,0.2964032785430552,0.30266832859554565,993822.8142867358,2101.9046097813202,992319.2023084753,995326.4262649964,2.0704641964306996,0.004378968037044271,2.0673316714044545,2.0735967214569446
4800,0.29973454103943803,0.004284325686308816,0.29666971907238704,0.302799363006489,1014430.0748906754,2099.319537291418,1012928.3121618727,1015931.837619478,2.0702654589605625,0.004284325686308625,2.0672006369935114,2.0733302809276135
4900,0.29992323602682947,0.004193259303757145,0.29692355902543693,0.302922913028222,1035038.3819865854,2096.6296018786425,1033538.543521657,1036538.2204515139,2.0700767639731703,0.00419325930375709,2.0670770869717776,2.073076440974563
5000,0.3001051982207165,0.004106779007689271,0.29716738549634497,0.30304301094508806,1055646.3489074348,2094.4572429215145,1054148.0644544885,1057144.6333603812,2.0698948017792835,0.004106779007689364,2.066956989054912,2.072832614503655
